Symbol,Current Price,Current Assets (Millions),Market Cap (Millions),Most Recent Financial Date,Current Assets Per Share
SHOP,103.58,7445.0,136373.44,2025-03-31,5.65
SHW,362.22,6039.7,90772.69,2025-03-31,24.1
SLB,33.24,18595.0,44905.91,2025-03-31,13.76
SNPS,473.19,6323.62,73420.63,2025-01-31,40.76
SPGI,513.94,5340.0,157616.67,2025-03-31,17.41
SYK,382.55,13022.0,146197.22,2025-03-31,34.07
TGTX,37.03,644.51,5879.49,2025-03-31,4.06
TJX,128.07,12991.0,143045.25,2025-01-31,11.63
TMO,403.66,23378.0,152379.23,2025-03-31,61.93
TSLA,332.05,59389.0,1069519.73,2025-03-31,18.44
TSM,202.4,3088352.1,1049751.65,2024-12-31,595.46
TT,432.62,6934.3,96482.05,2025-03-31,31.09
TTD,76.05,4856.34,36563.02,2025-03-31,10.1
TXN,190.72,13086.0,173263.78,2025-03-31,14.4
UBER,83.45,12350.0,174508.13,2025-03-31,5.91
UNP,220.87,4539.0,132508.09,2025-03-31,7.57
UPS,98.55,17090.0,83053.9,2025-03-31,20.28
VIST,47.9,1015.67,5212.62,2025-03-31,9.33
VRT,112.85,5461.7,43007.7,2025-03-31,14.33
VRTX,445.85,10008.8,114654.79,2025-03-31,38.92
WDAY,249.48,10545.0,66947.71,2025-01-31,39.3
WELL,152.05,7193.2,99531.47,2025-03-31,10.99
WM,238.89,4455.0,96654.42,2025-03-31,11.01
XOM,102.3,91233.0,440876.2,2025-03-31,21.17
ZTS,168.59,5877.0,75818.97,2025-03-31,13.07
